name,url,surface_area,rent,room_count,listing_type,is_furnished,geometry
Superbe 2 pieces, https://www.leboncoin.fr/locations/1509380566.htm/,50,600,2,apartment,0,POINT(-0.5837038219693795 44.840850889176515)
Bordeaux T3 au pied du tram, https://www.leboncoin.fr/locations/1508893582.htm/,71, 722,3,apartment,0,POINT(-0.574777430367817 44.834764586867315)
